id,target
0,0.516
1,0.13
2,0.088
3,0.43
4,0.24
5,0.054
6,0.244
7,0.67
8,0.023
9,0.166
10,0.126
11,0.499
12,0.251
13,0.324
14,0.311
15,0.202
16,0.227
17,0.09
18,0.458
19,0.269
20,0.302
21,0.09
22,0.116
23,0.106
24,0.236
25,0.13
26,0.071
27,0.499
28,0.711
29,0.378
30,0.443
31,0.193
32,0.191
33,0.046
34,0.254
35,0.28
36,0.603
37,0.24
38,0.177
39,0.312
40,0.166
41,0.177
42,0.55
43,0.108
44,0.139
45,0.559
46,0.096
47,0.388
48,0.534
49,0.341
50,0.156
51,0.43
52,0.041
53,0.601
54,0.255
55,0.359
56,0.295
57,0.143
58,0.053
59,0.041
60,0.138
61,0.352
62,0.205
63,0.549
64,0.05
65,0.509
66,0.423
67,0.242
68,0.039
69,0.086
70,0.257
71,0.309
72,0.289
73,0.031
74,0.337
75,0.093
76,0.351
77,0.059
78,0.2
79,0.215
80,0.292
81,0.264
82,0.213
83,0.058
84,0.174
85,0.024
86,0.339
87,0.059
88,0.375
89,0.085
90,0.021
91,0.09
92,0.057
93,0.214
94,0.251
95,0.094
96,0.227
97,0.35
98,0.076
99,0.42
100,0.151
101,0.193
102,0.188
103,0.062
104,0.324
105,0.206
106,0.036
107,0.047
108,0.283
109,0.498
110,0.625
111,0.42
112,0.138
113,0.615
114,0.366
115,0.011
116,0.487
117,0.172
118,0.698
119,0.392
120,0.3
121,0.065
122,0.247
123,0.65
124,0.188
125,0.042
126,0.063
127,0.453
128,0.281
129,0.023
130,0.496
131,0.701
132,0.242
133,0.17
134,0.171
135,0.307
136,0.249
137,0.321
138,0.669
139,0.471
140,0.193
141,0.469
142,0.312
143,0.483
144,0.339
145,0.413
146,0.111
147,0.253
148,0.222
149,0.278
150,0.256
151,0.084
152,0.414
153,0.195
154,0.186
155,0.335
156,0.024
157,0.427
158,0.444
159,0.253
160,0.207
161,0.105
162,0.388
163,0.134
164,0.571
165,0.139
166,0.509
167,0.331
168,0.157
169,0.784
170,0.387
171,0.629
172,0.294
173,0.186
174,0.125
175,0.16
176,0.172
177,0.376
178,0.385
179,0.354
180,0.228
181,0.314
182,0.214
183,0.027
184,0.511
185,0.72
186,0.296
187,0.032
188,0.394
189,0.373
190,0.016
191,0.406
192,0.491
193,0.5
194,0.243
195,0.069
196,0.327
197,0.695
198,0.412
199,0.507
200,0.262
201,0.151
202,0.029
203,0.114
204,0.32
205,0.318
206,0.451
207,0.618
208,0.309
209,0.248
210,0.176
211,0.214
212,0.162
213,0.426
214,0.182
215,0.394
216,0.263
217,0.196
218,0.091
219,0.475
220,0.048
221,0.107
222,0.239
223,0.077
224,0.092
225,0.175
226,0.428
227,0.084
228,0.371
229,0.294
230,0.283
231,0.097
232,0.292
233,0.047
234,0.102
235,0.214
236,0.154
237,0.26
238,0.411
239,0.741
240,0.252
241,0.043
242,0.415
243,0.191
244,0.277
245,0.342
246,0.242
247,0.202
248,0.478
249,0.159
250,0.264
251,0.331
252,0.426
253,0.265
254,0.034
255,0.055
256,0.055
257,0.218
258,0.173
259,0.628
260,0.11
261,0.141
262,0.288
263,0.204
264,0.235
265,0.216
266,0.105
267,0.08
268,0.311
269,0.215
270,0.193
271,0.467
272,0.191
273,0.406
274,0.501
275,0.616
276,0.128
277,0.055
278,0.038
279,0.174
280,0.183
281,0.361
282,0.016
283,0.486
284,0.06
285,0.177
286,0.579
287,0.142
288,0.118
289,0.086
290,0.658
291,0.156
292,0.182
293,0.468
294,0.186
295,0.029
296,0.624
297,0.174
298,0.145
299,0.056
300,0.156
301,0.066
302,0.163
303,0.172
304,0.313
305,0.208
306,0.335
307,0.22
308,0.077
309,0.505
310,0.252
311,0.016
312,0.068
313,0.084
314,0.163
315,0.403
316,0.342
317,0.507
318,0.547
319,0.098
320,0.378
321,0.302
322,0.223
323,0.119
324,0.033
325,0.126
326,0.418
327,0.289
328,0.449
329,0.504
330,0.049
331,0.354
332,0.353
333,0.437
334,0.185
335,0.257
336,0.389
337,0.342
338,0.383
339,0.326
340,0.174
341,0.182
342,0.48
343,0.158
344,0.428
345,0.123
346,0.607
347,0.187
348,0.127
349,0.189
350,0.392
351,0.249
352,0.087
353,0.419
354,0.421
355,0.766
356,0.178
357,0.036
358,0.196
359,0.313
360,0.134
361,0.214
362,0.472
363,0.196
364,0.04
365,0.64
366,0.283
367,0.556
368,0.305
369,0.092
370,0.287
371,0.34
372,0.512
373,0.209
374,0.339
375,0.503
376,0.266
377,0.557
378,0.013
379,0.225
380,0.417
381,0.539
382,0.418
383,0.312
384,0.21
385,0.326
386,0.099
387,0.474
388,0.34
389,0.395
390,0.28
391,0.146
392,0.041
393,0.186
394,0.525
395,0.286
396,0.205
397,0.398
398,0.263
399,0.291
400,0.56
401,0.018
402,0.095
403,0.256
404,0.173
405,0.473
406,0.518
407,0.451
408,0.303
409,0.552
410,0.318
411,0.084
412,0.421
413,0.064
414,0.118
415,0.142
416,0.387
417,0.366
418,0.476
419,0.322
420,0.509
421,0.132
422,0.582
423,0.226
424,0.261
425,0.199
426,0.091
427,0.214
428,0.215
429,0.453
430,0.05
431,0.228
432,0.501
433,0.161
434,0.292
435,0.138
436,0.154
437,0.064
438,0.145
439,0.289
440,0.027
441,0.013
442,0.183
443,0.316
444,0.218
445,0.122
446,0.14
447,0.221
448,0.063
449,0.377
450,0.166
451,0.244
452,0.399
453,0.332
454,0.315
455,0.414
456,0.619
457,0.054
458,0.325
459,0.341
460,0.128
461,0.602
462,0.334
463,0.387
464,0.74
465,0.33
466,0.04
467,0.35
468,0.358
469,0.397
470,0.053
471,0.236
472,0.372
473,0.352
474,0.608
475,0.239
476,0.23
477,0.077
478,0.068
479,0.069
480,0.184
481,0.596
482,0.471
483,0.46
484,0.194
485,0.09
486,0.23
487,0.024
488,0.136
489,0.033
490,0.403
491,0.075
492,0.106
493,0.229
494,0.336
495,0.121
496,0.068
497,0.157
498,0.156
499,0.328
500,0.05
501,0.367
502,0.351
503,0.165
504,0.085
505,0.313
506,0.403
507,0.098
508,0.612
509,0.033
510,0.133
511,0.211
512,0.364
513,0.068
514,0.136
515,0.019
516,0.379
517,0.276
518,0.009
519,0.079
520,0.206
521,0.581
522,0.067
523,0.103
524,0.171
525,0.342
526,0.298
527,0.328
528,0.32
529,0.19
530,0.48
531,0.242
532,0.24
533,0.236
534,0.12
535,0.226
536,0.029
537,0.372
538,0.16
539,0.108
540,0.092
541,0.242
542,0.124
543,0.018
544,0.029
545,0.289
546,0.133
547,0.341
548,0.237
549,0.22
550,0.154
551,0.24
552,0.065
553,0.087
554,0.146
555,0.503
556,0.415
557,0.44
558,0.022
559,0.322
560,0.144
561,0.122
562,0.357
563,0.055
564,0.028
565,0.342
566,0.064
567,0.138
568,0.239
569,0.466
570,0.048
571,0.24
572,0.14
573,0.693
574,0.643
575,0.364
576,0.307
577,0.076
578,0.135
579,0.265
580,0.256
581,0.355
582,0.117
583,0.478
584,0.412
585,0.512
586,0.094
587,0.183
588,0.24
589,0.111
590,0.069
591,0.09
592,0.104
593,0.393
594,0.173
595,0.498
596,0.262
597,0.663
598,0.298
599,0.296
600,0.264
601,0.467
602,0.419
603,0.038
604,0.111
605,0.639
606,0.466
607,0.183
608,0.109
609,0.135
610,0.255
611,0.061
612,0.42
613,0.276
614,0.112
615,0.464
616,0.03
617,0.465
618,0.171
619,0.63
620,0.322
621,0.287
622,0.106
623,0.186
624,0.588
625,0.221
626,0.072
627,0.34
628,0.202
629,0.489
630,0.056
631,0.109
632,0.66
633,0.228
634,0.018
635,0.221
636,0.427
637,0.114
638,0.119
639,0.196
640,0.416
641,0.03
642,0.398
643,0.484
644,0.168
645,0.084
646,0.46
647,0.216
648,0.183
649,0.171
650,0.332
651,0.067
652,0.253
653,0.298
654,0.266
655,0.144
656,0.078
657,0.486
658,0.378
659,0.418
660,0.201
661,0.347
662,0.103
663,0.039
664,0.569
665,0.409
666,0.067
667,0.346
668,0.104
669,0.042
670,0.339
671,0.165
672,0.628
673,0.159
674,0.338
675,0.233
676,0.105
677,0.028
678,0.401
679,0.462
680,0.453
681,0.388
682,0.101
683,0.738
684,0.139
685,0.569
686,0.513
687,0.527
688,0.137
689,0.415
690,0.314
691,0.19
692,0.218
693,0.32
694,0.427
695,0.533
696,0.45
697,0.361
698,0.127
699,0.252
700,0.025
701,0.133
702,0.241
703,0.129
704,0.531
705,0.093
